[1]  CHAPTER EIGHTEEN THE CONTENT OF CHRISTIAN MEETINGS THE EFFECT OF PREACHING THE GOSPEL
[2]  From our observation of the new ones coming to the Lord s table meeting, we found that the sweetest part is the fellowship with some light refreshments after the meeting.
[3]  The new ones often come to the meetings joyfully, but it seems that we all forget our sense of duty.
[4]  The above matters show us that if we all in various places only go knocking on doors, leading people to be baptized and establishing home meetings, yet we do not have the proper spiritual content in the meetings, there will be a great deficiency.
[5]  We need to pay attention to leading the new ones to confess their sins before the Lord.
[6]  In the meetings we have heard many testimonies about how people were saved, but we have not often heard someone testify that he felt he was sinful, that he had confessed his sins before the Lord, and that he believed that the precious blood of the Lord Jesus shed on the cross for him had cleansed away all his sins.
[7]  Therefore, when we contact new believers, whether before or after their baptism, we should have some good fellowship with them on the matter of sin so that they may have a proper feeling toward sin.
[8]  In the past we baptized people, but we could not keep them because we did not have the home meetings, and we did not know how to practice the home meetings.
[9]  IN LEADING HOME MEETINGS THE FLOCKING NATURE CREATED BY GOD FOR MAN
[10]  The home meetings are according to the longing of man.
[11]  On the one hand, there is a desire within man, but on the other hand, many are not willing to pay the price to practically achieve this desire.
[12]  In order to have home meetings, everyone has to be busy and diligent, and everyone needs to labor.
[13]  IN THE HOME MEETINGS Allowing the Lord to Increase,
[14]  In order to deal with difficult situations in the home meeting, we first need to be respectable persons, persons highly regarded by others.
[15]  Even though the host of a home meeting may be a successful, famous, retired person over sixty years old, when we go to his home to lead the home meeting, we need to have his high appraisal as we stand or sit before him.
[16]  Even before we speak, by our expression, appearance, and posture, people may realize that we are persons with weight.
[17]  Furthermore, we need to let the truth, the words given to us by the Lord in the Bible, sanctify us John 17:17 .
[18]  The Lord s own word tells us that the truth can sanctify us.
[19]  When we pursue life, grow in life, experience restrictions, and are regulated by the law of the Lord within us, and at the same time we study the Bible, pursue the truth, and are enlightened by it, the concepts within us are unconsciously and completely changed.
[20]  AN INCREASE IN THE CHURCH STRENGTHENING THE HOME MEETINGS,
[21]  Recently a brother from England brought us a copy of the statistics of the whole of Christianity in England.
[22]  The reason for the decline in Christianity is that people have taken the way of chance.
[23]  THE PANORAMIC VIEW OF GOSPELIZING TAIWAN The Full-timers Working Diligently in One Accord
[24]  After two terms of the full-time training, there will be two hundred fifty full-timers.
[25]  After they complete their training, they will have some time off for rest.
[26]  For example, we can first minister on the Lord s life and His precious blood, then on God s love, and third on God s grace.
[27]  CHAPTER TWENTY-ONE THE GOAL OF THE HOME MEETINGS 1 LEADING THE NEW ONES
[28]  Through our practical experience we can say that gaining the new ones by door-knocking is not a difficult matter.
[29]  They may know a little about drawing near to the Lord and praying to the Lord, yet they do not know that the One who dwells in them is the Triune God.
[30]  Although He is God and is life, if He had not passed through many processes, He could not be our life and He would not be able to dwell in us.
[31]  Afterward, He lived on this earth for thirty-three and a half years.
[32]  He first lived in a poor carpenter s family in Nazareth for thirty years.
[33]  Moreover, this God is also in them, so they can fellowship with such a One in life in their daily living not only when we are there but even when we are not.
[34]  It is our burden to lead the newly saved ones to enter into this experience.
[35]  However, we must also note that not every home is suitable for this.
[36]  For those who have reached this stage, we need to bring them into the experience of fellowshipping with the Lord.
[37]  If we want to bring people into fellowship with the Lord in life, we first need to lead them to be filled with life and to have the experience of the filling of the Holy Spirit.
[38]  If we do not confess our sins thoroughly, it is very difficult for the Holy Spirit to have the ground in us, and we are not able to receive the co-death with Christ on the cross.
[39]  After we have confessed our sins, we have peace within because how many sins we have confessed is how much God has forgiven us, and how many sins we have confessed is how much the precious blood of the Lord Jesus has cleansed us.
[40]  How much we confess is how much God forgives, how deeply we confess is how deeply God forgives, and how broadly we confess is how broadly God forgives.
[41]  As we believe the forgiveness of God and receive the cleansing of the Lord s blood, we have peace within, and we also have the inward filling of the Holy Spirit.
[42]  Colossians 1:27-29 says, To whom God willed to make known what are the riches of the glory of this mystery among the Gentiles, which is Christ in you, the hope of glory, whom we announce, admonishing every man and teaching every man in all wisdom that we may present every man full-grown in Christ; for which also I labor, struggling according to His operation which operates in me in power.
[43]  The Lord s recovery among us already has a history of over sixty years.
[44]  In the beginning our scale was very small, the situation was very difficult, and what the Lord had shown us was very limited.
[45]  Gradually, however, over the last sixty years we cannot say that we saw something new every day, but we certainly have seen something new each year.
[46]  Prior to October of 1984, we practiced the truth, preached the gospel, established churches, and lived the church life.
[47]  However, that view and that realm were not broad enough, causing us to suffer a great loss.
[48]  Due to the damage caused by the poison of the practice in Christianity of one man speaking and all others listening, the Lord s recovery has not propagated and expanded much for many years.
[49]  Before she was saved, a certain young sister was injured by someone, so she called some drug dealers to go to that person s home to deal with him.
[50]  However, please bear in mind that the saints themselves must first be trained, and the localities where the saints are must be in one accord, or if a certain locality does not have a church, there must be three to five there who are in one accord.
[51]  In short, we should all the more spread the truth and not neglect it.
[52]  Here is a big problem, to which we all must pay attention.
[53]  In our propagation we cannot be blind and limit ourselves to only one way.
[54]  However, although the situations may be different, we must be absolutely one in believing in the Bible, the Triune God, Jesus Christ, the need to receive Him as the crucified and resurrected Lord, the uniqueness of the Body of Christ, and the oneness of the expression of the Body in the different local churches.
[55]  On man s side, the faith is the belief that we must be saved by the forgiveness of sins and regenerated to have God s life, that Christ has only one Body, and that the expression of this one Body in every locality is also one.
