[1]  In this chapter there are a number of specific things that I wish to discuss with you.
[2]  If I were to stand before you, although I may not be moving, you could see that my nose, mouth, and face all bear a living expression.
[3]  The day before yesterday, I attended a morning watch in Hall One, where all the ones there were elderly brothers.
[4]  But when those brothers began to read, To be watchful is just to check yourself, to see whether or not you are in spirit right now, or Prayer is to bring yourself into the spirit, keeping yourself in spirit and staying in the spirit, or The most difficult time for us brothers to remain in spirit is when we speak to our wives.
[5]  The second thing I want to fellowship with you is that there are different kinds of speaking.
[6]  In the past, when we came to the big meetings, as soon as the leading brothers arrived, our mouths were sealed.
[7]  Do not think that since we are now free in the home meetings, we can talk about anything and everything.
[8]  No matter what age we are, we must pay attention to this one thing: if we want to speak in the meetings we must be well acquainted with the Bible in our daily life.
[9]  Every time we come to meet, we are meeting around the Lord s Word, contacting the Word and getting help from the Lord.
[10]  When you help people to read the footnotes and the Life-study messages, you must be careful.
[11]  Do not give others the impression that you are a leader or a core member.
[12]  CHAPTER TWO A THREE-IN-ONE LIVING Scripture Reading: 1 Cor 14:1, 3, 24, 31-32; 12:7-8; Gen 20:7; Neh 8:9; 2 Sam 12:1
[13]  It seems as if all of us have nothing else to do besides hurrying to meetings, busily going to meetings, and attending meetings.
[14]  Actually, it is not that we have nothing else to do.
[15]  Rather, we are those who have been called by the Lord Jesus out of all our busy engagements to meet together.
[16]  Although I do not know much about music, and although I do not have a good voice or an ear for music, I do love to sing.
[17]  These dear brothers and sisters are not only reluctant to speak; they simply cannot understand what this Brother Lee has been doing.
[18]  If you are under a powerful speaking ministry which ministers the Lord s word to you, and you are being moved and edified, your experience tells you that even to say a small Amen from your heart will make a big difference.
[19]  But if you come to a home meeting with eight brothers sitting in a brother s living room, it would be impossible for you not to speak.
[20]  When your love towards the Lord is fresh, when you have such a sweet fellowship with Him in the morning, you wish that the evening would come sooner so that you may go to the meeting.
[21]  EXERCISING ALL THE TIME TO SAY O LORD, AMEN
[22]  Whether young or old, all of us must exercise to do one thing: from the time we wake up in the morning until we go to bed at night, as long as we are awake and breathing, we must set our minds on the Lord.
[23]  Perhaps you would say, I want to do this.
[24]  I admit that sometimes I forget the Lord also.
[25]  But one thing which I have learned makes it hard for me to forget the Lord: I always call on the Lord.
[26]  If you would call O Lord all the time, you will be reminded of Him.
[27]  I have learned a secret: no matter how busy I am, I would learn always to say O Lord, Amen.
[28]  When you go to the home meeting, you must go with a spirit of prayer.
[29]  Whether anyone arrives before you at the meeting, and regardless of how many people there are in the meeting, as soon as you arrive, you should begin to pray.
[30]  I have told you before that the home meetings should not have any leader.
[31]  Now I would add that there should not even be any so-called core members.
[32]  Constantly we maintain a fellowship with the Lord and always exercise ourselves to say O Lord, Amen.
[33]  CHAPTER THREE WALKING ACCORDING TO THE SPIRIT Scripture Reading: Rom 8:4; Eph 5:18-19; 1 Thes 5:16-19
[34]  In this chapter we will continue to speak concerning the key points on the home meetings.
[35]  I want to have some fellowship with you based on my experience and observation.
[36]  If we are burdened for the home meetings, the first thing we must take care of is that which is recorded in Romans 8:4.
[37]  But I wish to tell you that although my scholarship cannot be compared with yours, I have one thing that you do not have.
[38]  If we walk according to the Spirit, our spirit will be filled with God.
[39]  This is what Ephesians 5:18-19 refers to: Be filled in spirit, speaking to one another in psalms and hymns and spiritual songs, singing and psalming with your heart to the Lord.
[40]  Once we are filled with God in spirit, we will spontaneously sing psalms, hymns, and songs with our heart, speaking to one another and praising the Lord.
[41]  While I take a walk, I sing one hymn after another:
[42]  Now let me ask you a question: If I were to say, I am about to get angry, what hymn do you think I should sing?
[43]  But we are only asking you to attend three important meetings in a week: the Lord s Day morning truth meeting, the evening table meeting, and one home meeting.
[44]  CHAPTER FOUR EXERCISING TO SPEAK THE LORD S WORD Scripture Reading: Eph 3:16-17; 2 Cor 3:16-18 LEARNING TO SING AT HOME
[45]  The hymn we just sang, hymn 987, was written at the beginning of this century.
[46]  At that time, the liberal theology was flourishing, which said that the Bible is not the word of God, that miracles are not real, and that the resurrection of Jesus was merely a resurrection of His ideas.
[47]  I hope you brothers and sisters would all pick up the burden that from now on, whenever you have some free time at home, you would sing these hymns until you know them well.
