[1]  The Nature of the New Way and the Universal Priesthood
[2]  THE UNIVERSAL PRIESTHOOD Scripture Reading: 1 Pet 2:5; John 3:22-30; Rom 1:9; 15:16; Col 1:27-29 OUTLINE John the Baptist: Rejecting the Old Testament priesthood.
[3]  In the New Testament, we see in 1 Peter 2 that you are a chosen race, a royal priesthood, a holy nation, a people for a possession v. 9 . Revelation chapter one also says clearly that He loves us and has loosed us from our sins by His blood, and made us a kingdom, priests to His God and Father vv.
[4]  The Lord Jesus gave two examples in Luke 14: For which of you, wanting to build a tower, will not first sit down and calculate the cost, whether he has enough to complete it? v. 28 . Or what king, going to engage another king in war, will not first sit down and deliberate...? v. 31 . Both of these examples show that a Christian s life is one that should be planned.
[5]  If everyone would be busy preaching the gospel, and if after the babies are born, everyone would be busy nourishing them, and if after they are nourished, every one of them would be grouped into the small group meetings, and if those who have received light, experience, and revelation from the Lord s word would prophesy in the district meetings to build up the church, I believe in one to two years time, a good foundation will be laid.
[6]  Every mother knows that the first thing a newborn child does is drink milk.
[7]  In the past our way has been to invite people to come to the meeting in the meeting hall on the Lord s Day morning immediately after we baptize them.
[8]  We all know that it is easy to beget a child.
[9]  It is not too difficult to raise him up either.
[10]  God s eternal purpose is to have the Body of Christ, and the steps to arrive at this purpose are the begetting through the preaching of the gospel, our nourishing through the home meetings, our teaching through the small group meetings, and our building up through the church meetings.
[11]  It matches what God wants to accomplish in Himself.
[12]  THE UNIVERSAL PRIESTHOOD OF THE NEW TESTAMENT Everyone Preaching the Gospel
[13]  The priesthood that God ordained for everyone is one in which all the saved ones are priests.
[14]  Moreover, the foremost offering in the New Testament is the offering of the saved sinners to God.
[15]  For this reason, after the coming of the New Testament age, God revealed to the last priest of the Old Testament, John the Baptist, that he was not to offer up bulls and goats anymore.
[16]  The Lord sent us to all the nations to preach the gospel to every man, baptizing them into Himself, and offering them up as sacrifices to God.
[17]  CHAPTER FOUR THE NEW WAY AND THE SERVICE AND
[18]  Those in the New Testament worshipping the God in Christ who is the God-man Phil 3:3.
[19]  Christ is the seed of woman bruising the serpent s head.
[20]  He is also the seed of Abraham accomplishing God s redemption and bestowing the blessing of God s redemption, the all-inclusive Spirit of the Triune God, to everyone who believes and is saved Gal 3:14 .
[21]  Furthermore, this Spirit, which is the all-inclusive Spirit, is the unique blessing in God s redemption.
[22]  In Luke chapter fifteen, the Lord speaks to us in a parable: What man of you, having a hundred sheep and having lost one of them, does not leave the ninety-nine in the wilderness and go after the one which is lost until he finds it? v. 4 . When the sheep is found, the angels in heaven rejoice over it v. 7 . This is what is described in Hymns, #1068: While angels in His presence sang until the courts of heaven rang stanza 1 . If a sinner is not a treasure, why do the angels rejoice when he is saved? The writer of this hymn knew the heart of God and wrote accurately.
[23]  WORSHIP IN THE NEW TESTAMENT The Old Testament Worship
[24]  When the Lord Jesus was on earth, one day He intended to go from Jerusalem to Galilee.
[25]  If our meetings and gospel preaching are all by one man speaking while all listen, we are not according to God s New Testament economy, and not all the saints will be able to be priests of the gospel.
[26]  Before we attend a meeting, we are a worshipper of God already.
[27]  Every morning we have a revival, and every day, in our daily living, we are constantly renewed and overcoming and are in constant touch and fellowship with the Lord.
[28]  IN THE NEW TESTAMENT Scripture Reading: 1 Cor 15:8-10, 58 THE NEW WAY REQUIRING
[29]  For this reason, we have to learn to remain in resurrection so that we can speak for God and speak forth God.
[30]  To preach the gospel according to the way ordained in the New Testament, we have to contact and visit people directly in order that they may be saved from their environment and that we may offer them up to God as sacrifices.
[31]  The new way today is not a term that we have invented.
[32]  Through His blood, He has brought us before God that we might become a new creation to take the new way.
[33]  Because the light from the Lord has become stronger recently and because we have seen that gospel preaching in which one speaks and all listen is contrary to the nature of the new creation in the New Testament, we are reluctant to return to the old way.
[34]  The New Testament priesthood is universal; it is not just for a minority of people.
[35]  This means that every saved person is a priest.
[36]  Although in the past we were in one accord to arouse the whole church to preach the gospel, most of the brothers and sisters were not priests of the gospel.
[37]  Our big gospel meetings in the past with their numbers of responses and baptisms were quite impressive.
[38]  But as far as the nature of the New Testament is concerned, they have killed the function of most of the saints.
[39]  In principle, this is an offense to the Lord because it has fully annulled God s New Testament economy.
[40]  We need a thorough repentance, and we need to drop all the ways that are not according to God s New Testament economy.
[41]  They should be priests of God s gospel directly, offering up the gospel sacrifices, which are the saved sinners.
[42]  OF THE GOSPEL Scripture Reading: 1 Cor 4:15; Rom 15:16; John 21:15; 1 Thes 2:7; 1 Pet 2:2; Rom 12:1; 1 Thes 2:11; Eph 4:12-13; Col 1:28; 1 Cor 14:23, 3-5 OUTLINE Begetting in Christ Jesus begetting others through the gospel and offering them to God as sacrifices 1 Cor 4:15; Rom 15:16.
