[1]  Three Aspects of the Church: The Meaning of the Church, Book 1 CONTENTS
[2]  Our three daily sessions will cover the church in respect to three different aspects.
[3]  The first aspect concerns the spiritual aspects of the church, that is, the meaning of the church.
[4]  Ephesians 3:9-11 says, To enlighten all that they may see what the economy of the mystery is, which throughout the ages has been hidden in God, who created all things, in order that now to the rulers and the authorities in the heavenlies the multifarious wisdom of God might be made known through the church, according to the eternal purpose which He made in Christ Jesus our Lord.
[5]  CHAPTER TWO GOD S PLAN CONCERNING THE CHURCH 1
[6]  The origin of the church is God s eternal plan.
[7]  The church did not come into existence by coincidence.
[8]  Neither did the church come into being simply because a group of sinners were saved by God and gathered together.
[9]  Second, God not only uses Himself as the resource to produce the church, but He also uses His power as the energy.
[10]  Ephesians 1:19 says, What is the surpassing greatness of His power toward us who believe, according to the operation of the might of His strength.
[11]  Verse 20 tells us that this power is the power that God used to raise Christ from the dead.
[12]  Ephesians 1:9 shows that the church was purposed in God in eternity according to the good pleasure of His will.
[13]  Moreover, God s plan for the church is altogether for His Son Col 1:16; John 3:35; Heb 1:2 .
[14]  God not only intends that His Son accomplish this plan, but He also desires that His Son inherit this plan.
[15]  In typology, God is typified by Abraham, His Son is typified by Isaac, and the church is typified by Rebekah.
[16]  The expression in Christ does not imply only that Christ is the One who accomplishes and inherits God s plan but also that everything in this plan is Christ.
[17]  In the economy of God s eternal plan God Himself is the resource, God s power is the energy, and God s wisdom is the means; moreover, Christ is God Himself, God s power, and God s wisdom.
[18]  According to the meaning of the Greek, God in His plan ordained that we would be His sons; then, having ordained us to be His sons, He ordained us to inherit all that He is.
[19]  Hence, the word sonship has two aspects in the original language: on one hand, God s life enters into the church, and on the other hand, the church enters into all that God is.
[20]  In the Chinese Union Version, the expression to be holy in Ephesians 1:4 is translated to be holy and clean.
[21]  Most people in Christianity have the concept that holiness is cleanness.
[22]  But the meaning of the word holy in the original languages of the Bible, both in the Hebrew of the Old Testament and in the Greek of the New Testament, focuses more on the aspect of being holy than on being clean or pure.
[23]  The preposition to in the original Greek may also be rendered into, as in Romans 6:3, baptized into His death.
[24]  Ephesians 1 indicates that in His plan God first desires that the church have His life, become His sons, and become His heirs to inherit His possessions.
[25]  Second, He desires that the church be made holy and be fully mingled with Him.
[26]  The church becomes holy by being sanctified and transformed, by having God mingled with the church and by the church being transformed from clay to gold.
[27]  At the end of Revelation, when the holy city New Jerusalem appears, God will be in the church and the church will be in God.
[28]  In eternity God chose the church, which means He marked out the church.
[29]  God manifests His wisdom in this great universe not only through Satan but even through small men, such as Job In the book of Job, Satan tried to do things to Job with his tactics and schemes, but Satan s cleverness simply gave God the opportunity to manifest His wisdom through Job
[30]  CHAPTER FOUR THE HEADING UP OF ALL THINGS Heading Up All Things
[31]  God s plan for the church is not only to mingle Himself with man and to make known to Satan and his angels the multifarious wisdom of God but also to head up all things in the heavens and on the earth in Christ His Son.
[32]  Verse 10 says, To head up all things in Christ, the things in the heavens and the things on the earth, in Him.
[33]  Christ is the Head of the church, and He is the Head over all things to the church.
[34]  Whether Christ can be the Head over all things, whether all things can be subjected to the authority of Christ, and whether all things can be headed up in Christ completely depend upon whether or not the church exists, has been produced, and has grown up.
[35]  When the church exists, God is able to subject all things to the authority of Christ.
[36]  In order to see this, we must first see the oneness of the universe.
[37]  THE ONENESS IN THE UNIVERSE Scripture Reading: Ephesians 1:10, 22; 4:13 Satan Damaging the Oneness of God s Creation through Death
[38]  Nevertheless, God is now recovering us with His life so that we may be joined to Him.
[39]  Peace in this verse does not merely refer to sinners being reconciled to God but also to a restoration of the relationship between the universe and God, in which there is no separation from God.
[40]  By His power God caused all things to function in a normal relationship with Him.
[41]  Because of their relationship and function toward God under the power of His creation, all things were in harmony and the universe was one.
[42]  Once God s life entered into us, we were joined to Him, not only recovering our relationship with God as our Creator but also entering into union with Him in His life.
[43]  Then the church will be one and will arrive at the oneness v. 13 . After God has worked thoroughly in the church, the restoration of all things will begin.
[44]  God s work begins with the church and then spreads outward, passing through the church to all things.
[45]  All things will be enlightened by the light that shines out through the oneness of the church, all will know Jehovah in the light of the oneness of the church cf.
[46]  Through the completion of His work in the church, God will bring the church completely into glory so that she may be delivered from the old creation and fully enter into the new creation.
[47]  Ephesians 1:10 reveals that God is heading up all things in Christ.
[48]  His life is working and operating in the church to the extent that it will shine forth from the church as light to all things; all the nations will walk by its light Rev 21:24 , and all things will be headed up in the light.
[49]  The picture in Revelation 22 clearly reveals that there is a throne out from which proceeds a river of water of life in the New Jerusalem v. 1 . The New Jerusalem presents a picture of the life of God operating in us.
[50]  The result of the operation of the river of water of life is the shining forth of light from within the city.
[51]  The Lord is life John 11:25 , and the Lord is also light 1 John 1:5 .
[52]  According to the Gospel of John, the entrance of God s life into us and its operation in us, brings in the light of life 8:12 .
[53]  If the church allows God to move freely, it will be able to shine forth God.
